data_group,category,suffix,file_count,apparent_bytes,apparent_gib
catalogs_events,active_or_source,.bzs,1,26187,0.0000
catalogs_events,active_or_source,.crs,35,58870,0.0001
catalogs_events,active_or_source,.csv,394,2276956140,2.1206
catalogs_events,active_or_source,.dis,1,67527,0.0001
catalogs_events,active_or_source,.inp,1,1738,0.0000
catalogs_events,active_or_source,.json,1,1267,0.0000
catalogs_events,active_or_source,.nc,64,869283434,0.8096
catalogs_events,active_or_source,.rst,5,34105560,0.0318
catalogs_events,active_or_source,.txt,40,19684,0.0000
catalogs_events,active_or_source,.xy,1,1829,0.0000
catalogs_events,active_or_source,<no_extension>,12,660,0.0000
catalogs_events,administrative_or_historical,.archived_before_datum_repair_20260706_151313,5,35656626,0.0332
catalogs_events,administrative_or_historical,.archived_before_line_csv_rebuild_20260706_141943,5,99192,0.0001
catalogs_events,administrative_or_historical,.archived_before_soft_edge_drop_20260706_140344,12,174818,0.0002
catalogs_events,administrative_or_historical,.backup_before_all_clean_crs_install_20260619_140125,1,1748,0.0000
catalogs_events,administrative_or_historical,.backup_before_all_clean_obs_install_20260619_140125,1,1085,0.0000
catalogs_events,administrative_or_historical,.backup_before_morgan_eagle_manchester_3pt_20260619_135200,2,28395,0.0000
catalogs_events,administrative_or_historical,.crs,2,3364,0.0000
catalogs_events,administrative_or_historical,.csv,1043,5796497489,5.3984
catalogs_events,administrative_or_historical,.geojson,9,375708,0.0003
catalogs_events,administrative_or_historical,.html,52,3189771,0.0030
catalogs_events,administrative_or_historical,.json,3098,365208680,0.3401
catalogs_events,administrative_or_historical,.md,48,7149475,0.0067
catalogs_events,administrative_or_historical,.nc,1,2129271,0.0020
catalogs_events,administrative_or_historical,.png,139,228863597,0.2131
catalogs_events,administrative_or_historical,.rdb,16,131495,0.0001
catalogs_events,administrative_or_historical,.txt,270,72338218,0.0674
catalogs_events,administrative_or_historical,.xy,8,8590,0.0000
catalogs_events,administrative_or_historical,.xyxy,5,8302,0.0000
catalogs_static,active_or_source,.bak,1,1266,0.0000
catalogs_static,active_or_source,.bnd,1,88,0.0000
catalogs_static,active_or_source,.cpg,8,65,0.0000
catalogs_static,active_or_source,.crs,1,698,0.0000
catalogs_static,active_or_source,.csv,54,3336572,0.0031
catalogs_static,active_or_source,.db,1,114688,0.0001
catalogs_static,active_or_source,.dbf,9,3628,0.0000
catalogs_static,active_or_source,.dep,2,4544804,0.0042
catalogs_static,active_or_source,.docx,1,1542152,0.0014
catalogs_static,active_or_source,.geojson,8,156079,0.0001
catalogs_static,active_or_source,.gpkg,1,102400,0.0001
catalogs_static,active_or_source,.ige,1,16845381669,15.6885
catalogs_static,active_or_source,.img,1,28700,0.0000
catalogs_static,active_or_source,.ind,2,4544812,0.0042
catalogs_static,active_or_source,.json,3,2115,0.0000
catalogs_static,active_or_source,.log,1,8796,0.0000
catalogs_static,active_or_source,.manning,2,4544804,0.0042
catalogs_static,active_or_source,.md,21,9897,0.0000
catalogs_static,active_or_source,.msk,2,1136201,0.0011
catalogs_static,active_or_source,.nc,1,360647507,0.3359
catalogs_static,active_or_source,.obs,1,1758,0.0000
catalogs_static,active_or_source,.ovr,3,468147691,0.4360
catalogs_static,active_or_source,.png,7,10444209,0.0097
catalogs_static,active_or_source,.prj,9,3557,0.0000
catalogs_static,active_or_source,.rde,1,4224714813,3.9346
catalogs_static,active_or_source,.rrd,1,430033413,0.4005
catalogs_static,active_or_source,.sbg,1,304503756,0.2836
catalogs_static,active_or_source,.sbn,4,648,0.0000
catalogs_static,active_or_source,.sbx,4,488,0.0000
catalogs_static,active_or_source,.scs,2,4544804,0.0042
catalogs_static,active_or_source,.shp,9,59404,0.0001
catalogs_static,active_or_source,.shx,9,1492,0.0000
catalogs_static,active_or_source,.src,1,44,0.0000
catalogs_static,active_or_source,.thd,2,1728,0.0000
catalogs_static,active_or_source,.tif,17,4131015190,3.8473
catalogs_static,active_or_source,.txt,2,1086,0.0000
catalogs_static,active_or_source,.vrt,1,17614,0.0000
catalogs_static,active_or_source,.xml,6,334133,0.0003
catalogs_static,active_or_source,<no_extension>,23,1127,0.0000
catalogs_static,administrative_or_historical,.csv,5,746062,0.0007
catalogs_static,administrative_or_historical,.dep,1,2272388,0.0021
catalogs_static,administrative_or_historical,.geojson,2,73482,0.0001
catalogs_static,administrative_or_historical,.gpkg,2,274432,0.0003
catalogs_static,administrative_or_historical,.ind,1,2272392,0.0021
catalogs_static,administrative_or_historical,.json,2,2279,0.0000
catalogs_static,administrative_or_historical,.man,1,2272416,0.0021
catalogs_static,administrative_or_historical,.manning,1,2272388,0.0021
catalogs_static,administrative_or_historical,.md,3,9576,0.0000
catalogs_static,administrative_or_historical,.msk,1,568097,0.0005
catalogs_static,administrative_or_historical,.nc,1,360647507,0.3359
catalogs_static,administrative_or_historical,.scs,1,2272388,0.0021
catalogs_static,administrative_or_historical,.thd,1,1030,0.0000
catalogs_static,administrative_or_historical,.tif,6,1427990628,1.3299
catalogs_static,administrative_or_historical,.txt,7,22288,0.0000
processed_usgs_master_archive,active_or_source,.csv,5921,41539113459,38.6863
processed_usgs_master_archive,active_or_source,.json,1,678,0.0000
processed_usgs_master_archive,active_or_source,.md,1,7432,0.0000
processed_usgs_master_archive,active_or_source,.pper,5,601,0.0000
processed_usgs_master_archive,active_or_source,.py,1,19973,0.0000
processed_usgs_master_archive,active_or_source,.r,7,74912,0.0001
processed_usgs_master_archive,active_or_source,.rdb,2314,459460464,0.4279
processed_usgs_master_archive,active_or_source,.rproj,1,195,0.0000
processed_usgs_master_archive,active_or_source,.txt,48,13219022,0.0123
processed_usgs_master_archive,active_or_source,.xy,1,1829,0.0000
processed_usgs_master_archive,active_or_source,<no_extension>,34,85837,0.0001
processed_usgs_master_archive,administrative_or_historical,.csv,132,66014494,0.0615
processed_usgs_master_archive,administrative_or_historical,.txt,24,128963,0.0001
